"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","fog","NUM_COLLISIONS"
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,37,36.1,8.3,8.9,12,999.9,0,0,208
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,42.7,42.7,1.4,14.7,20,26,0.02,1,213
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,32.6,21.3,10,13.4,19,27,0.17,0,239
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,29.2,19.5,7.5,6.1,9.9,999.9,0,1,256
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,33.1,32,5.4,14.8,22.9,32.1,0.4,0,202
"48",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,31.5,28.4,7.7,13.8,20,26,0.51,0,257
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,26.8,16.8,10,14.7,21,27,0,0,208
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,32.4,25.3,9.1,9.8,19,24.1,0,0,245
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,38.5,35.3,8.6,14,21,26,0.81,0,240
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,39.9,34.1,10,14.1,15.9,25.1,0,0,267
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,42.9,31.8,9.8,14.5,21,26,0,0,269
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,34.7,16.7,10,8.9,15,20,0,0,301
"55",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,39.1,33.4,7.8,13.3,20,21,0,0,223
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,41.6,38.8,9.3,6.1,17.1,999.9,0.17,0,212
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021,43.5,43,3.5,11.8,999.9,999.9,0,0,224
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,26.1,8.7,10,19.8,22.9,35.9,0,0,268
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2021,38.2,26,10,14.1,39,999.9,0,0,244
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2021,39.3,32.2,10,8.4,999.9,999.9,0,0,262
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2021,30.2,9.5,10,12.3,999.9,999.9,0,0,306
