mo,f0_
01,441.16129032258061
02,447.02647058823527
03,474.72054794520551
04,459.72303206997105
05,510.01400560224067
06,528.25443786982237
07,497.01881720430106
08,490.0698924731185
09,506.68333333333328
10,506.8978494623658
11,495.9666666666667
12,482.27150537634378
