day,f0_,f1_,f2_,f3_,f4_,f5_
1,51.976942355889747,43.991729323308263,8.4739348370927257,10.281954887,16.926065163,383.03684210526308
2,52.0825870646766,44.781592039801012,8.190049751243782,10.229353234,16.756965174,389.99776119402952
3,52.399000000000008,45.148499999999984,8.2247500000000038,10.14475,19.49125,399.31150000000014
4,51.887719298245621,44.2749373433584,8.2964912280701721,10.322055138,22.135588972,363.69724310776957
5,51.618000000000009,43.855000000000011,8.3604999999999983,10.46075,17.50225,343.69925000000006
6,51.687500000000014,68.710249999999988,8.3172500000000031,10.23125,17.2615,353.0187499999999
7,52.113283208020057,44.265162907268163,8.49473684210526,10.104260652,17.014035088,373.33959899749374
