mo,f0_
01,549.03686635944723
02,557.48989898989873
03,572.61344537815114
04,576.17040358744373
05,631.62660944205982
06,654.26146788990809
07,598.74596774193515
08,587.37096774193549
09,607.19999999999993
10,608.79032258064512
11,600.43333333333339
12,588.93145161290317
