mo,f0_
01,246.81451612903223
02,246.92035398230092
03,269.92708333333331
04,278.5555555555556
05,281.5
06,299.34166666666664
07,293.5645161290322
08,295.4677419354839
09,305.65
10,303.11290322580646
11,287.03333333333347
12,268.95161290322585
