day,collision_date,NUM_COLLISIONS
4,2013-01-03,549
2,2012-11-27,583
2,2013-01-29,542
4,2013-01-10,555
2,2013-01-15,516
4,2012-12-27,525
1,2012-11-26,563
7,2012-11-18,446
5,2012-12-07,714
6,2012-10-27,524
1,2012-11-05,479
5,2012-10-12,594
7,2012-10-28,403
5,2012-11-02,345
3,2012-09-12,651
2,2012-09-18,556
4,2016-01-14,597
1,2015-12-14,637
7,2015-12-13,549
2,2015-12-08,618
6,2015-12-05,629
5,2015-11-27,480
7,2015-11-01,312
4,2015-11-05,690
7,2015-11-08,472
7,2015-11-15,500
6,2015-10-10,649
2,2015-10-20,714
3,2015-10-14,658
4,2015-10-15,683
4,2015-09-24,619
5,2015-09-25,585
2,2015-09-22,571
1,2015-08-17,592
3,2015-08-12,643
7,2015-07-26,551
1,2017-10-16,641
7,2017-09-17,586
7,2017-07-23,554
3,2012-09-05,601
7,2012-08-26,471
5,2012-08-17,574
4,2012-08-30,618
3,2012-08-01,616
7,2012-07-08,464
7,2023-06-11,251
5,2022-11-04,287
1,2022-11-14,264
3,2023-01-11,216
5,2023-10-13,311
2,2020-05-05,174
4,2020-03-12,456
5,2020-02-21,504
6,2020-01-18,774
3,2020-02-19,477
2,2019-12-24,530
6,2019-11-30,465
7,2019-11-10,457
7,2019-10-06,435
4,2019-09-19,605
6,2019-08-31,502
1,2023-04-24,302
1,2023-05-22,286
5,2023-11-17,327
5,2023-12-22,323
5,2023-12-29,263
2,2024-02-20,225
1,2015-08-03,705
2,2015-08-04,666
5,2015-07-24,490
2,2015-06-30,622
3,2015-06-17,706
4,2015-07-09,567
7,2015-06-21,620
4,2015-06-18,615
5,2015-05-22,727
6,2015-05-02,540
5,2015-03-27,532
6,2015-04-04,507
3,2015-04-08,457
7,2015-03-08,464
6,2015-03-21,507
4,2015-02-26,539
6,2015-02-21,517
2,2015-02-17,620
7,2015-02-08,394
4,2016-12-29,542
3,2019-08-28,553
4,2019-06-27,734
2,2019-06-25,662
1,2019-07-01,693
3,2019-06-05,655
4,2019-06-20,697
2,2019-06-11,682
7,2019-05-26,510
7,2019-04-28,395
6,2019-04-06,587
7,2019-03-31,450
5,2019-03-08,652
1,2016-10-03,490
1,2016-09-12,648
7,2019-02-03,490
4,2019-01-10,580
6,2014-12-13,594
5,2014-11-21,677
4,2015-01-15,548
3,2014-12-31,461
4,2014-12-04,606
7,2014-11-30,377
7,2014-11-16,429
1,2014-11-17,666
7,2014-09-28,512
5,2014-10-03,719
2,2014-10-07,620
4,2014-10-16,602
2,2014-09-02,700
6,2014-09-13,558
4,2014-08-07,585
5,2014-08-29,631
6,2014-08-02,540
5,2014-07-25,653
1,2014-07-07,614
4,2014-07-10,584
6,2014-06-28,611
7,2014-06-08,516
1,2014-05-26,433
1,2014-05-19,572
2,2014-05-20,650
1,2014-05-05,618
3,2014-05-07,603
2,2014-04-08,606
5,2014-04-18,496
7,2014-02-09,450
1,2014-02-24,569
3,2014-02-12,640
4,2014-02-06,569
7,2014-02-02,417
3,2013-12-18,701
1,2013-12-02,549
2,2014-01-14,559
7,2014-01-26,465
4,2014-01-23,612
3,2014-01-29,649
2,2013-12-17,703
5,2013-12-13,695
3,2013-12-04,520
6,2013-11-09,571
2,2013-11-05,510
4,2013-11-07,646
5,2013-10-25,647
1,2013-10-14,440
4,2013-10-10,559
2,2013-10-15,615
1,2018-10-29,696
6,2018-10-20,629
4,2018-09-27,672
5,2018-08-10,707
2,2018-07-10,727
3,2018-07-25,657
7,2018-06-17,627
1,2018-05-28,409
2,2018-05-29,809
6,2021-09-18,319
5,2021-05-14,411
2,2021-06-22,290
3,2021-07-07,324
2,2022-01-18,258
5,2021-07-16,350
7,2022-04-10,285
5,2021-07-23,324
1,2022-01-24,238
6,2021-08-21,321
6,2022-02-05,295
1,2021-12-06,345
5,2022-03-25,307
7,2013-09-22,585
1,2013-08-12,519
1,2013-08-26,521
7,2013-09-01,480
5,2013-07-19,697
1,2013-07-29,597
7,2013-07-28,485
5,2013-06-21,690
5,2013-06-07,791
4,2013-05-23,735
2,2013-05-07,592
2,2013-04-30,576
1,2013-05-06,561
4,2016-06-30,761
5,2016-07-15,798
6,2016-07-16,623
1,2016-07-11,618
5,2016-06-24,811
5,2016-04-22,741
1,2016-04-25,488
2,2016-03-08,632
5,2016-02-12,628
3,2018-03-21,477
2,2017-12-12,687
5,2017-09-29,757
1,2017-11-20,748
4,2022-05-12,308
7,2022-07-31,288
2,2022-08-16,291
3,2022-08-17,261
6,2021-04-03,281
3,2021-03-03,244
5,2020-11-13,391
1,2020-12-07,281
1,2020-11-16,305
7,2020-08-09,283
4,2020-06-11,251
5,2020-06-26,337
6,2020-04-18,125
7,2013-03-10,415
2,2013-03-05,527
2,2013-01-08,513
1,2013-01-07,521
5,2012-12-28,557
5,2012-12-14,648
4,2012-11-29,515
5,2012-11-16,672
1,2012-10-01,555
7,2012-09-16,458
1,2012-09-10,637
3,2015-12-30,501
4,2015-12-24,603
7,2015-12-20,500
2,2015-12-01,746
6,2015-11-07,500
6,2015-11-21,597
5,2015-11-06,616
4,2015-10-22,666
3,2015-10-07,668
6,2015-10-24,519
6,2015-09-05,541
7,2015-08-30,563
3,2015-08-19,594
7,2015-08-23,492
7,2015-08-16,552
5,2015-07-17,659
7,2015-07-19,545
3,2017-09-13,738
6,2017-08-26,570
7,2017-08-20,538
5,2017-08-04,758
5,2017-07-07,674
3,2017-06-07,675
6,2012-08-25,474
5,2012-08-24,601
3,2012-07-11,565
4,2012-07-19,522
5,2012-07-27,638
2,2012-07-10,524
5,2012-07-20,604
3,2012-07-25,612
3,2012-07-04,432
5,2022-09-09,364
2,2022-09-20,288
7,2023-06-25,288
3,2023-01-25,256
5,2023-10-20,340
4,2023-02-16,262
7,2020-06-28,240
1,2020-02-10,572
5,2020-01-31,518
3,2020-02-05,432
5,2020-02-07,604
6,2020-01-11,439
1,2019-11-25,641
3,2019-11-20,526
3,2019-11-06,615
3,2019-10-30,595
5,2019-10-04,708
6,2019-09-21,577
1,2019-07-15,637
3,2023-11-15,273
5,2024-02-16,281
2,2015-05-12,684
6,2015-05-09,560
2,2015-04-28,613
3,2015-04-29,679
6,2015-04-18,605
1,2015-02-23,574
3,2015-02-04,585
1,2017-03-27,629
3,2017-04-12,540
3,2017-02-15,603
1,2016-12-12,665
6,2016-11-19,692
3,2019-09-04,600
3,2019-08-07,608
2,2019-06-18,721
1,2019-06-03,659
4,2019-06-06,744
7,2019-05-19,547
5,2019-03-01,711
3,2019-02-20,615
2,2019-02-12,687
2,2016-09-20,619
4,2016-08-18,635
3,2019-01-30,630
4,2018-12-27,582
6,2018-11-03,656
6,2018-12-22,568
5,2018-12-07,705
4,2018-11-22,412
3,2015-02-11,610
6,2015-01-17,495
6,2015-01-10,481
5,2015-01-09,751
7,2014-12-07,493
3,2014-12-17,555
1,2014-12-15,720
5,2014-11-07,641
5,2014-10-24,669
3,2014-10-08,639
6,2014-10-04,531
1,2014-09-15,610
1,2014-08-04,589
2,2014-08-19,516
5,2014-07-04,360
1,2014-07-21,557
6,2014-07-12,550
6,2014-07-05,505
4,2014-07-17,587
4,2014-07-03,740
1,2014-06-30,610
2,2014-06-17,666
2,2014-06-24,632
6,2014-05-17,619
7,2014-05-18,507
7,2014-06-01,604
2,2014-06-03,663
2,2014-05-06,565
7,2014-04-20,393
7,2014-04-13,482
1,2014-04-14,514
2,2014-02-25,513
7,2014-03-02,344
4,2014-03-06,558
2,2014-02-04,613
5,2014-01-31,560
4,2014-01-16,521
4,2013-12-19,607
1,2013-11-25,710
3,2013-11-20,607
1,2013-11-04,658
5,2013-10-11,621
1,2013-10-21,616
5,2018-10-19,787
4,2018-10-25,763
2,2018-10-30,721
7,2018-09-23,475
3,2018-08-29,685
5,2018-09-21,715
4,2018-08-02,722
4,2018-05-31,698
2,2018-07-17,680
7,2021-05-02,330
3,2021-06-02,339
1,2022-01-31,312
3,2021-08-25,336
1,2021-08-30,323
2,2022-03-01,248
2,2013-10-29,600
4,2013-10-03,590
3,2013-09-25,539
4,2013-09-05,493
4,2013-08-22,578
3,2013-07-31,553
6,2013-07-13,575
1,2013-08-05,545
3,2013-07-24,571
1,2013-07-08,617
2,2013-07-02,601
6,2013-05-25,514
3,2013-06-05,599
2,2013-05-21,697
4,2013-04-25,583
6,2016-07-23,650
7,2016-07-17,574
3,2016-06-22,751
7,2016-05-22,571
7,2016-03-20,479
4,2016-03-24,635
2,2016-04-12,638
6,2016-03-12,625
3,2016-03-02,653
5,2016-03-04,685
3,2016-02-03,579
3,2016-02-10,537
3,2018-03-14,652
4,2018-02-22,550
5,2018-02-16,582
5,2017-10-06,649
7,2022-05-15,306
6,2021-01-09,244
3,2021-03-10,224
3,2020-12-09,280
2,2020-11-24,324
1,2020-10-19,276
7,2020-09-20,275
1,2020-05-04,174
2,2020-06-23,291
5,2013-02-22,531
4,2013-02-14,631
3,2013-02-06,566
5,2013-02-08,703
3,2012-12-12,550
3,2012-12-19,590
2,2012-11-06,514
1,2012-10-15,607
2,2012-10-16,602
5,2012-09-14,609
3,2012-09-26,404
6,2016-01-23,402
7,2016-01-03,432
5,2015-12-25,321
1,2016-01-04,601
2,2016-01-12,637
7,2015-11-29,453
4,2015-12-03,623
3,2015-11-18,628
2,2015-11-10,757
5,2015-10-23,742
4,2015-10-08,666
2,2015-09-15,579
1,2015-09-28,586
4,2015-09-10,716
2,2017-10-03,687
1,2017-09-18,672
2,2017-08-08,631
3,2017-08-09,655
1,2012-09-03,373
5,2012-08-31,701
6,2012-08-11,507
7,2012-08-12,505
4,2012-08-02,570
2,2012-07-24,574
1,2012-07-30,530
4,2022-09-29,315
3,2023-06-07,259
6,2023-01-14,248
5,2023-02-03,307
2,2023-01-31,261
7,2019-12-22,510
6,2019-12-21,520
6,2019-12-14,577
2,2019-12-17,700
1,2019-11-11,481
4,2019-10-10,615
4,2023-08-10,291
1,2023-10-30,284
4,2023-04-20,287
3,2024-02-14,281
1,2015-07-27,626
3,2015-06-03,658
1,2015-07-06,598
4,2015-07-02,603
1,2015-05-18,566
2,2015-03-24,601
3,2015-04-01,648
3,2015-02-18,626
1,2015-02-02,680
2,2017-04-25,723
