"","day","year","mo","temp","dewp","wdsp","NUM_COLLISIONS"
"1120",3,2015,5,62.4,57.8,13.4,697
"1121",2,2015,5,62.4,57.6,11.7,682
"1122",1,2015,5,65.4,57.4,5.7,813
"1123",7,2015,5,63.3,59.9,8.5,622
"1124",6,2015,5,64.7,60.9,11.2,555
"1125",5,2015,6,55.9,52.8,12.7,691
"1126",4,2015,6,53.4,50.1,13.7,642
"1127",3,2015,6,53,44.9,13.9,658
"1128",2,2015,6,52.2,42.8,7.9,552
"1129",1,2015,6,53.1,46.6,7.3,692
"1130",7,2015,6,58,52.5,11.5,598
"1131",6,2015,6,59.5,45.8,7.7,559
"1132",5,2015,6,59.6,51.8,10.6,634
"1133",4,2015,6,64,59.9,14.2,652
"1134",3,2015,6,65.2,58.5,8.8,667
"1135",2,2015,6,64.6,59.7,11.8,666
"1136",1,2015,6,67,60.2,6.8,451
"1138",6,2015,6,66.9,53.5,8.9,578
"1139",5,2015,6,57.8,51.4,9.9,506
"1140",4,2015,6,64.2,61.9,7.1,593
"1141",3,2015,6,64.8,53.9,14.5,706
"1142",2,2015,6,59.1,47.7,3.9,615
"1143",1,2015,6,65.6,58,7.4,732
"1144",7,2015,6,62,56,9,505
"1145",6,2015,6,64.9,61.5,11.3,620
"1146",5,2015,6,67.1,62.7,6.2,774
"1147",4,2015,6,65.5,61.1,10.2,703
"1148",3,2015,6,70.8,62.5,9.4,778
"1149",2,2015,6,68.7,57.9,7.4,670
"1150",1,2015,6,66,60.5,7.9,774
"1151",7,2015,6,61.5,55.4,8.4,595
"1152",6,2015,6,64.4,61.6,13,535
"1153",5,2015,6,64.3,59.4,9.7,662
"1154",4,2015,6,67.1,61.8,7.1,622
"1155",3,2015,7,65.5,62.2,10.4,683
"1156",2,2015,7,68.7,62.5,7,603
"1157",1,2015,7,68.3,58.3,5.8,549
"1159",6,2015,7,65.8,59.5,8.2,467
"1160",5,2015,7,69.2,64.4,8.2,598
"1161",4,2015,7,68.1,64.3,8.2,646
"1162",3,2015,7,70.6,67.8,9.8,620
"1163",2,2015,7,69.1,61.2,9.8,567
"1164",1,2015,7,65.2,60.1,7.9,709
"1165",7,2015,7,71.8,62.1,8.4,597
"1166",6,2015,7,71.5,64.6,9.3,521
"1167",5,2015,7,70.9,64.9,5.3,668
"1168",4,2015,7,67.4,63,9.2,657
"1169",3,2015,7,72.3,68.8,4.5,611
"1170",2,2015,7,67.3,57.3,16.6,686
"1171",1,2015,7,64.9,57.6,6,659
"1172",7,2015,7,67.8,60.5,9.7,561
"1173",6,2015,7,71.4,67.9,9,545
"1174",5,2015,7,73.4,69.9,9.3,727
"1175",4,2015,7,72.6,69.7,5.4,606
"1176",3,2015,7,73.7,65,9.2,618
