"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","max","min","fog","NUM_COLLISIONS"
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,30.6,24.5,10,8.8,13,999.9,0,36,16,0,626
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,27,19.7,6.9,11,25.1,32.1,0,36,19.9,0,515
"42",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.1,-0.8,9.5,18.8,24.1,32.1,0.01,19,8.6,0,621
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,21.9,10.6,10,8.5,15.9,999.9,0,37,3.9,0,517
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,36,34,2.6,7.7,22,28,0.82,41,33.1,1,519
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,29.4,19.6,6,8.9,18.1,25.1,0.25,41,21,1,574
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,14.3,0.2,10,11.9,20,26,0,33.1,8.1,0,580
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,29.9,21.8,7.9,12.4,20,27,0.02,33.8,23,0,628
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,28,19.6,7.5,12,25.1,31.1,0,33.1,25,1,539
"49",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,24.2,12.2,10,9.3,15.9,999.9,0,30.9,19.9,0,703
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,22.2,9.9,10,7.2,11.1,15,0,28,16,0,538
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,23.1,14.2,9.1,5.1,8.9,999.9,0,30.9,10,0,693
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,33.4,27.2,6.8,10.9,20,28,0.36,36,30.2,0,650
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,27,10.3,10,10.8,15.9,21,0.12,36,23,0,631
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,36.1,33.8,3.1,14.8,20,28,0.31,41,23,1,574
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,25,15.9,9.9,10.9,21,28.9,0,33.1,12,0,578
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,33.8,28,9.2,8,17.1,27,0,39,14,0,464
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,35.6,26.1,9.6,9.5,20,25.1,0,44.1,24.1,0,661
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,36.5,30.3,9.9,6,13,999.9,0,44.1,24.1,0,584
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,42.1,38.5,5,12.3,19,25.1,0.55,48,28,1,565
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,38.1,21.9,10,14.1,22.9,31.1,0.25,48,33.1,0,586
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,31.1,11.6,10,12.3,20,26,0,41,26.1,0,609
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,38.7,33.3,5.8,10.8,21,28,0,46,26.1,1,507
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,38.5,33.8,7,12.3,21,28.9,1.16,46,30.9,0,459
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,32.9,18.5,9,17.1,27,39,0.01,43,28,0,529
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,38.6,34.1,7.9,10.1,27,39,0.01,46.9,28,0,528
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,31,3.9,10,21.1,29.9,44.1,0.19,46.9,28,0,547
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,27.6,-1.5,10,18.3,26,35,0,35.1,21.9,0,582
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,30.3,13.2,9,6.3,13,15.9,0,35.1,21.9,0,570
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,34.2,31,7,8.5,13,999.9,0.02,41,21.9,0,507
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,35.1,18.8,9.4,15.7,25.1,33,0.13,41,21,0,432
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,27.2,1.4,10,14.9,22,32.1,0,37.9,21,0,586
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,31.4,16.3,10,6.7,11.1,999.9,0,37.9,21,0,601
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,33.6,24.1,9.9,6.7,11.1,999.9,0,44.1,24.1,0,538
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,42.6,39.7,4.2,12.8,18.1,27,0.02,46.9,27,1,525
"75",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,42.4,40,5.1,13.1,20,31.1,0.44,48.9,37.9,1,532
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,37.4,34.5,7.8,12.7,20,28,0.24,39,33.8,0,459
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,34.9,23.9,9.5,10.6,18.1,22.9,0.19,39.9,28.9,0,505
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,36.8,28.3,9.8,11,14,20,0,44.1,27,0,556
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,39.4,31.2,9.8,13.6,20,26,0,46,33.1,0,628
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,37.9,24.8,9.8,11.5,21,26,0.01,46,34,0,648
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,37.1,27.6,9.9,7,15.9,999.9,0,46.9,24.1,0,653
"82",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,45,41.6,5.9,14.6,19,22,0,48,42.1,0,491
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,47.3,39.1,4.8,13.7,26,35,0.27,57,41,1,507
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,43.2,36.1,9.5,6.8,13,999.9,0,51.1,32,1,510
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,44.2,40.5,8.6,9.3,18.1,21,0.12,51.1,32,0,452
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,41.2,34.2,10,14.8,22,28,0.06,48,39,0,457
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,39.4,35.5,4.5,18.7,24.1,33,0.18,46.9,37,0,452
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,43.9,41.7,3.6,9.4,21,27,0.01,53.1,37,1,486
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,47.8,40.7,5.1,12.4,19,24.1,0.26,57.9,39.9,1,576
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,45,31.4,10,10.1,15.9,22.9,0,57.9,32,0,443
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45,38.2,10,9.1,12,999.9,0,54,32,0,554
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,49.8,46.3,8.9,10.2,20,29.9,0,54,37.9,0,542
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,50.6,35.8,8.3,6.9,19,27,0.03,62.1,37.9,1,595
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.4,28.5,10,8.6,13,17.1,0,62.1,37.9,0,560
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,43.2,6.9,12.5,15.9,24.1,0,54,39,1,679
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,51.9,45.2,7.3,7.7,14,999.9,0.12,64,41,1,605
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.3,37.4,9.9,11,20,27,0,64,39.9,0,471
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45.2,40.7,8.5,16.2,28.9,38.1,0,52,39.9,0,630
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,51.5,48.6,3.6,14.3,26,35,0.32,55.9,39.9,1,645
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.8,39.7,10,8.6,15.9,22,0.05,57,37.9,0,568
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.9,37.6,9.8,13.4,22,28.9,0.13,57,37.9,0,612
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,44,27.7,10,14.6,21,28,0,51.1,37.9,0,676
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,43.7,27.5,9.9,12.9,19,22.9,0,51.1,37,0,592
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.1,34,9.8,7.4,11.1,999.9,0,54,37,0,477
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49,37.9,10,8.9,15,21,0,57,39,0,558
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,46,35.9,9.8,15.7,26,33,0.02,57,41,0,613
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.3,38.5,9.8,7.8,14,18.1,0,55.9,39.9,0,679
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,48.1,38.3,10,7.8,15.9,19,0,57,39,0,640
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,43.8,37.2,9.6,13.3,19,22.9,0,57,39,0,642
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,44.4,36.7,10,9.6,15,999.9,0,51.1,39,0,540
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,44.5,38,9.9,5.3,11.1,999.9,0,53.1,32,1,555
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,52.2,47.2,9.9,8.8,14,20,0,60.1,32,0,641
