"","day","year","mo","collision_date","temp","dewp","max","min","fog","NUM_COLLISIONS"
"1043",3,2015,3,"2015-03-11",42.1,38.5,48,28,1,565
"1044",4,2015,3,"2015-03-12",38.1,21.9,48,33.1,0,586
"1045",5,2015,3,"2015-03-13",31.1,11.6,41,26.1,0,609
"1046",6,2015,3,"2015-03-14",38.7,33.3,46,26.1,1,507
"1047",7,2015,3,"2015-03-15",38.5,33.8,46,30.9,0,459
"1048",1,2015,3,"2015-03-16",32.9,18.5,43,28,0,529
"1049",2,2015,3,"2015-03-17",38.6,34.1,46.9,28,0,528
"1050",3,2015,3,"2015-03-18",31,3.9,46.9,28,0,547
"1051",4,2015,3,"2015-03-19",27.6,-1.5,35.1,21.9,0,582
"1052",5,2015,3,"2015-03-20",30.3,13.2,35.1,21.9,0,570
"1053",6,2015,3,"2015-03-21",34.2,31,41,21.9,0,507
"1054",7,2015,3,"2015-03-22",35.1,18.8,41,21,0,432
"1055",1,2015,3,"2015-03-23",27.2,1.4,37.9,21,0,586
"1056",2,2015,3,"2015-03-24",31.4,16.3,37.9,21,0,601
"1057",3,2015,3,"2015-03-25",33.6,24.1,44.1,24.1,0,538
"1058",4,2015,3,"2015-03-26",42.6,39.7,46.9,27,1,525
"1059",5,2015,3,"2015-03-27",42.4,40,48.9,37.9,1,532
"1060",6,2015,3,"2015-03-28",37.4,34.5,39,33.8,0,459
"1061",7,2015,3,"2015-03-29",34.9,23.9,39.9,28.9,0,505
"1062",1,2015,3,"2015-03-30",36.8,28.3,44.1,27,0,556
"1063",2,2015,3,"2015-03-31",39.4,31.2,46,33.1,0,628
"1064",3,2015,4,"2015-04-01",37.9,24.8,46,34,0,648
"1065",4,2015,4,"2015-04-02",37.1,27.6,46.9,24.1,0,653
"1066",5,2015,4,"2015-04-03",45,41.6,48,42.1,0,491
"1067",6,2015,4,"2015-04-04",47.3,39.1,57,41,1,507
"1069",1,2015,4,"2015-04-06",43.2,36.1,51.1,32,1,510
"1070",2,2015,4,"2015-04-07",44.2,40.5,51.1,32,0,452
"1071",3,2015,4,"2015-04-08",41.2,34.2,48,39,0,457
"1072",4,2015,4,"2015-04-09",39.4,35.5,46.9,37,0,452
"1073",5,2015,4,"2015-04-10",43.9,41.7,53.1,37,1,486
"1074",6,2015,4,"2015-04-11",47.8,40.7,57.9,39.9,1,576
"1075",7,2015,4,"2015-04-12",45,31.4,57.9,32,0,443
"1076",1,2015,4,"2015-04-13",45,38.2,54,32,0,554
"1077",2,2015,4,"2015-04-14",49.8,46.3,54,37.9,0,542
"1078",3,2015,4,"2015-04-15",50.6,35.8,62.1,37.9,1,595
"1079",4,2015,4,"2015-04-16",46.4,28.5,62.1,37.9,0,560
"1080",5,2015,4,"2015-04-17",47.5,43.2,54,39,1,679
"1081",6,2015,4,"2015-04-18",51.9,45.2,64,41,1,605
"1082",7,2015,4,"2015-04-19",46.3,37.4,64,39.9,0,471
"1083",1,2015,4,"2015-04-20",45.2,40.7,52,39.9,0,630
"1084",2,2015,4,"2015-04-21",51.5,48.6,55.9,39.9,1,645
"1085",3,2015,4,"2015-04-22",49.8,39.7,57,37.9,0,568
"1086",4,2015,4,"2015-04-23",46.9,37.6,57,37.9,0,612
"1087",5,2015,4,"2015-04-24",44,27.7,51.1,37.9,0,676
"1088",6,2015,4,"2015-04-25",43.7,27.5,51.1,37,0,592
"1089",7,2015,4,"2015-04-26",46.1,34,54,37,0,477
"1090",1,2015,4,"2015-04-27",49,37.9,57,39,0,558
"1091",2,2015,4,"2015-04-28",46,35.9,57,41,0,613
"1092",3,2015,4,"2015-04-29",49.3,38.5,55.9,39.9,0,679
"1093",4,2015,4,"2015-04-30",48.1,38.3,57,39,0,640
"1094",5,2015,5,"2015-05-01",43.8,37.2,57,39,0,642
"1095",6,2015,5,"2015-05-02",44.4,36.7,51.1,39,0,540
"1096",7,2015,5,"2015-05-03",44.5,38,53.1,32,1,555
"1097",1,2015,5,"2015-05-04",52.2,47.2,60.1,32,0,641
"1098",2,2015,5,"2015-05-05",57.1,48.6,71.1,46,0,638
"1099",3,2015,5,"2015-05-06",55.3,42.1,71.1,46.9,0,568
"1100",4,2015,5,"2015-05-07",55.9,42.3,70,42.1,0,684
"1101",5,2015,5,"2015-05-08",52.4,47.8,70,42.1,1,709
"1102",6,2015,5,"2015-05-09",54.3,50.9,64.9,46.9,1,560
"1103",7,2015,5,"2015-05-10",57,54.8,64.9,50,1,549
"1104",1,2015,5,"2015-05-11",57.9,55.9,66.9,54,1,645
"1105",2,2015,5,"2015-05-12",58.3,56.2,66.9,54,1,684
"1106",3,2015,5,"2015-05-13",59.5,47.2,66.9,53.1,0,655
"1107",4,2015,5,"2015-05-14",54,39.9,66.9,45,0,654
"1108",5,2015,5,"2015-05-15",54.4,46.4,64.9,46.9,0,723
"1109",6,2015,5,"2015-05-16",55.5,50.3,64,48,0,650
"1110",7,2015,5,"2015-05-17",63.1,56.2,78.1,50,0,543
"1111",1,2015,5,"2015-05-18",53.9,48.8,60.1,48,1,566
"1112",2,2015,5,"2015-05-19",51.4,49.9,61,46,1,606
"1113",3,2015,5,"2015-05-20",58.8,50.1,64.9,46,1,666
"1114",4,2015,5,"2015-05-21",54.8,41.1,64.9,48,0,615
"1115",5,2015,5,"2015-05-22",53.8,48,61,48,0,727
"1116",6,2015,5,"2015-05-23",54.8,33.2,61,48,0,546
"1117",7,2015,5,"2015-05-24",56.5,48.2,63,51.1,0,432
"1119",2,2015,5,"2015-05-26",61.1,56.2,66,54,0,686
"1120",3,2015,5,"2015-05-27",62.4,57.8,68,57.9,0,697
"1121",4,2015,5,"2015-05-28",62.4,57.6,68,59,0,682
"1122",5,2015,5,"2015-05-29",65.4,57.4,75.9,60.1,0,813
"1123",6,2015,5,"2015-05-30",63.3,59.9,75.9,57.9,1,622
"1124",7,2015,5,"2015-05-31",64.7,60.9,71.1,59,1,555
"1125",1,2015,6,"2015-06-01",55.9,52.8,71.1,53.1,0,691
"1126",2,2015,6,"2015-06-02",53.4,50.1,61,51.1,0,642
"1127",3,2015,6,"2015-06-03",53,44.9,57.9,50,0,658
"1128",4,2015,6,"2015-06-04",52.2,42.8,60.1,43,0,552
"1129",5,2015,6,"2015-06-05",53.1,46.6,60.1,43,0,692
"1130",6,2015,6,"2015-06-06",58,52.5,63,46.9,1,598
"1131",7,2015,6,"2015-06-07",59.5,45.8,69.1,51.1,0,559
"1132",1,2015,6,"2015-06-08",59.6,51.8,69.1,51.1,0,634
"1133",2,2015,6,"2015-06-09",64,59.9,70,53.1,0,652
"1134",3,2015,6,"2015-06-10",65.2,58.5,73,57.9,1,667
"1135",4,2015,6,"2015-06-11",64.6,59.7,73,57.9,0,666
"1136",5,2015,6,"2015-06-12",67,60.2,79,61,1,451
"1138",7,2015,6,"2015-06-14",66.9,53.5,75.9,59,0,578
"1139",1,2015,6,"2015-06-15",57.8,51.4,59,55,0,506
"1140",2,2015,6,"2015-06-16",64.2,61.9,73,55.9,1,593
"1141",3,2015,6,"2015-06-17",64.8,53.9,66.9,57,1,706
"1142",4,2015,6,"2015-06-18",59.1,47.7,66.9,48.9,0,615
"1143",5,2015,6,"2015-06-19",65.6,58,80.1,48.9,0,732
"1144",6,2015,6,"2015-06-20",62,56,80.1,55.9,0,505
"1145",7,2015,6,"2015-06-21",64.9,61.5,71.6,59,1,620
"1146",1,2015,6,"2015-06-22",67.1,62.7,77,59,1,774
"1147",2,2015,6,"2015-06-23",65.5,61.1,77,59,1,703
"1148",3,2015,6,"2015-06-24",70.8,62.5,79,59,1,778
"1149",4,2015,6,"2015-06-25",68.7,57.9,79,62.1,0,670
"1150",5,2015,6,"2015-06-26",66,60.5,77,61,0,774
"1151",6,2015,6,"2015-06-27",61.5,55.4,72,54,1,595
"1152",7,2015,6,"2015-06-28",64.4,61.6,71.1,54,1,535
"1153",1,2015,6,"2015-06-29",64.3,59.4,71.1,57,1,662
"1154",2,2015,6,"2015-06-30",67.1,61.8,73.9,57,0,622
"1155",3,2015,7,"2015-07-01",65.5,62.2,72,61,1,683
"1156",4,2015,7,"2015-07-02",68.7,62.5,77,61,0,603
"1157",5,2015,7,"2015-07-03",68.3,58.3,77,61,1,549
"1159",7,2015,7,"2015-07-05",65.8,59.5,73.9,55,0,467
"1160",1,2015,7,"2015-07-06",69.2,64.4,78.1,55,0,598
"1161",2,2015,7,"2015-07-07",68.1,64.3,78.1,62.1,0,646
"1162",3,2015,7,"2015-07-08",70.6,67.8,75.9,62.1,1,620
"1163",4,2015,7,"2015-07-09",69.1,61.2,75.9,66,0,567
"1164",5,2015,7,"2015-07-10",65.2,60.1,75,60.1,0,709
"1165",6,2015,7,"2015-07-11",71.8,62.1,81,60.1,0,597
"1166",7,2015,7,"2015-07-12",71.5,64.6,81,64.9,0,521
"1167",1,2015,7,"2015-07-13",70.9,64.9,80.1,66,0,668
"1168",2,2015,7,"2015-07-14",67.4,63,79,62.1,0,657
"1169",3,2015,7,"2015-07-15",72.3,68.8,82,62.1,1,611
"1170",4,2015,7,"2015-07-16",67.3,57.3,82,60.1,0,686
"1171",5,2015,7,"2015-07-17",64.9,57.6,73,54,0,659
"1172",6,2015,7,"2015-07-18",67.8,60.5,73.9,55,0,561
"1173",7,2015,7,"2015-07-19",71.4,67.9,77,64,1,545
"1174",1,2015,7,"2015-07-20",73.4,69.9,81,69.1,1,727
"1175",2,2015,7,"2015-07-21",72.6,69.7,82,68,1,606
"1176",3,2015,7,"2015-07-22",73.7,65,82,68,1,618
"1177",4,2015,7,"2015-07-23",71.9,60.8,80.1,63,0,623
"1178",5,2015,7,"2015-07-24",71.7,60.3,80.1,62.1,0,490
"1179",6,2015,7,"2015-07-25",68.5,60.2,80.1,60.1,0,451
"1180",7,2015,7,"2015-07-26",65.8,61.6,77,60.1,1,551
"1181",1,2015,7,"2015-07-27",71.1,66.5,75,61,0,626
"1182",2,2015,7,"2015-07-28",72.4,68.7,80.1,68,1,643
"1183",3,2015,7,"2015-07-29",76,69.9,86,68,1,629
"1184",4,2015,7,"2015-07-30",74.2,70.7,86,69.1,0,717
"1185",5,2015,7,"2015-07-31",76.7,68.5,87.1,71.1,0,753
"1186",6,2015,8,"2015-08-01",73.4,68.5,87.1,66,1,668
"1187",7,2015,8,"2015-08-02",75.9,64.8,82.9,66,0,550
"1188",1,2015,8,"2015-08-03",74,68.2,82.9,69.1,0,705
"1189",2,2015,8,"2015-08-04",75,71.7,81,70,0,666
"1190",3,2015,8,"2015-08-05",74.5,68.8,81,68,1,619
"1191",4,2015,8,"2015-08-06",73.5,59.6,81,66.9,0,630
"1192",5,2015,8,"2015-08-07",71.2,61.9,79,64,0,726
"1193",6,2015,8,"2015-08-08",69.7,61.1,78.1,64,0,545
"1194",7,2015,8,"2015-08-09",67,62.1,77,64,0,489
"1195",1,2015,8,"2015-08-10",66.9,60.8,73.9,55.9,1,611
"1196",2,2015,8,"2015-08-11",67.9,64.4,73.9,55.9,0,601
"1197",3,2015,8,"2015-08-12",71.9,67.4,77,64,1,643
"1198",4,2015,8,"2015-08-13",71.1,65.8,79,63,1,714
"1199",5,2015,8,"2015-08-14",70.4,63.5,81,62.1,0,729
"1200",6,2015,8,"2015-08-15",71.8,67,81,62.1,1,582
"1201",7,2015,8,"2015-08-16",74.3,68.8,82,70,0,552
"1202",1,2015,8,"2015-08-17",74.1,70.4,82.9,70,0,592
"1203",2,2015,8,"2015-08-18",74.5,71,82.9,70,1,623
"1204",3,2015,8,"2015-08-19",73.9,70.1,81,69.1,1,594
"1205",4,2015,8,"2015-08-20",73.4,69.4,82,68,1,600
"1206",5,2015,8,"2015-08-21",73.6,70.2,82,68,1,753
"1207",6,2015,8,"2015-08-22",73.9,71.1,82,70,1,581
"1208",7,2015,8,"2015-08-23",73.4,69.9,82,69.1,1,492
"1209",1,2015,8,"2015-08-24",71.7,69.2,81,68,1,575
"1210",2,2015,8,"2015-08-25",72.8,68.7,81,66.9,0,595
"1211",3,2015,8,"2015-08-26",73.8,68.1,81,68,0,606
"1212",4,2015,8,"2015-08-27",72.3,60.6,81,62.1,0,614
"1213",5,2015,8,"2015-08-28",71.4,59.5,80.1,62.1,0,609
"1214",6,2015,8,"2015-08-29",70.3,62.5,80.1,62.1,0,539
"1215",7,2015,8,"2015-08-30",72.6,66.8,80.1,63,0,563
"1216",1,2015,8,"2015-08-31",74.8,69.6,82,66.9,0,614
"1217",2,2015,9,"2015-09-01",74.6,64.7,82,64.9,0,626
"1218",3,2015,9,"2015-09-02",66,62.6,81,61,1,654
"1219",4,2015,9,"2015-09-03",74.5,70,81,69.1,0,665
"1220",5,2015,9,"2015-09-04",70.6,65.2,75,64,1,643
"1221",6,2015,9,"2015-09-05",66.8,55.9,73,54,0,541
"1222",7,2015,9,"2015-09-06",66.6,55.9,72,50,0,504
"1223",1,2015,9,"2015-09-07",73,66.9,79,64,0,485
