"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","max","min","fog","NUM_COLLISIONS"
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,79,62.1,0,670
"163",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,66,77,61,0,774
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,61.5,72,54,1,595
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,71.1,54,1,535
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,64.3,71.1,57,1,662
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.1,73.9,57,0,622
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,72,61,1,683
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,77,61,0,603
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,68.3,77,61,1,549
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,65.8,73.9,55,0,467
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,69.2,78.1,55,0,598
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,68.1,78.1,62.1,0,646
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,70.6,75.9,62.1,1,620
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,69.1,75.9,66,0,567
"176",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,65.2,75,60.1,0,709
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,71.8,81,60.1,0,597
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,71.5,81,64.9,0,521
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,70.9,80.1,66,0,668
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.4,79,62.1,0,657
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,72.3,82,62.1,1,611
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,67.3,82,60.1,0,686
"183",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,64.9,73,54,0,659
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,67.8,73.9,55,0,561
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,71.4,77,64,1,545
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,73.4,81,69.1,1,727
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.6,82,68,1,606
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.7,82,68,1,618
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,71.9,80.1,63,0,623
"190",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.7,80.1,62.1,0,490
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,68.5,80.1,60.1,0,451
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,65.8,77,60.1,1,551
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,71.1,75,61,0,626
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.4,80.1,68,1,643
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,76,86,68,1,629
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,74.2,86,69.1,0,717
"197",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,76.7,87.1,71.1,0,753
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,73.4,87.1,66,1,668
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,75.9,82.9,66,0,550
